Year,RGDP,GDP,wages,labor_force,employment,revenue,social_security,medicare,medicaid_and_related,other_mandatory,discretionary,total_non_interest_spending,interest_spending,total_spending,primary_deficit,deficit,debt,medicare_offsetting
2119,86.77112263,776.7716892,321.752908,205.1363415,198.3159902,194166.3226,56285.40934,53937.68879,32167.5191,9190.318187,41559.31066,188787.4769,273870.7008,353073.198,-7597.963384,-176931.1539,5027517.543,-26904.89979
2120,88.03774834,803.9612848,332.8229594,205.5154566,198.7061223,201763.0293,58400.92983,56003.20193,33450.34636,9428.909511,43056.67076,195699.1488,290811.4256,368037.4046,-7743.500484,-185653.8717,5308652.761,-28187.67035
2121,89.32286339,832.1026069,344.273881,205.8952723,199.0970218,209656.9552,60595.96341,58147.81273,34784.33224,9673.694943,44607.97996,202863.8629,308800.0468,383635.8352,-7891.825311,-194806.6201,5605508.863,-29531.60078
2122,90.62673768,861.2289689,356.1187765,206.27579,199.4886904,217859.7289,62873.49863,60374.55018,36171.51693,9924.835288,46215.18201,210290.8833,327901.384,399895.3698,-8042.991264,-204410.5997,5918964.947,-30939.60707
2123,91.94964503,891.3748505,368.371201,206.6570109,199.8811294,226383.434,65236.63636,62686.55928,37614.02195,10182.49553,47880.29071,217989.8133,348184.2659,416844.028,-8197.052763,-214488.056,6249949.273,-32414.74422
2124,93.29186329,922.5759384,381.0451755,207.0389364,200.2743404,235240.6268,67688.59402,65087.10545,39114.05348,10446.84493,49605.39239,225970.6078,369721.779,434511.0166,-8354.065271,-225062.3317,6599442.008,-33960.21289
2125,94.65367433,954.8691683,394.1552037,207.4215677,200.668325,244444.3549,70232.70997,67579.57917,40673.90565,10718.05714,51392.64859,234243.586,392591.5306,452926.7804,-8514.085315,-236157.9199,6968478.129,-35579.36634
2126,96.03536416,988.2927688,407.7162883,207.8049061,201.0630846,254008.1765,72872.44802,70167.50076,42295.96406,10996.31034,53244.29868,242819.4451,416875.9284,472123.0546,-8677.170504,-247800.5213,7358150.489,-37275.71771
2127,97.43722296,1022.886307,421.743948,208.188953,201.4586209,263946.1802,75611.40219,72854.52534,43982.70949,11281.78732,55162.66276,251709.2738,442662.4778,492132.9194,-8843.379548,-260017.1037,7769613.051,-39052.94765
2128,98.85954514,1058.690733,436.2542356,208.5737096,201.8549352,274273.0056,78453.30158,75644.44799,45736.72163,11574.67561,57150.14448,260924.5667,470044.0968,512990.8569,-9012.772286,-272835.9645,8204084.308,-40914.91227
2129,100.3026294,1095.748434,451.2637561,208.9591774,202.2520291,285003.8654,81402.01544,78541.20915,47560.68304,11875.16762,59209.23412,270477.2394,499119.4512,534732.8107,-9185.409699,-286286.796,8662850.889,-42865.65156
2130,101.7667788,1134.103278,466.7896857,209.3453575,202.6499043,296154.5673,84461.55847,81548.90013,49457.38327,12183.46075,61342.51168,280379.6437,529993.3095,557396.248,-9361.353939,-300400.7544,9147271.373,-44909.3981
2131,103.2523009,1173.800669,482.8497919,209.7322513,203.0485621,307741.5375,87636.09623,84671.76892,51429.72311,12499.75753,63552.65011,290644.5835,562776.9215,581020.2236,-9540.668347,-315210.5319,9658780.307,-47050.58629
2132,104.7595076,1214.887601,499.4624531,210.1198601,203.4480042,319781.8449,90929.95087,87914.22621,53480.71905,12824.26573,65842.41866,301285.3316,597588.4179,605645.4478,-9723.417478,-330750.4324,10198892.46,-49293.86196
2133,106.2887155,1257.412713,516.6466803,210.5081853,203.8482321,332293.2262,94347.607,91280.85155,55613.50785,13157.19855,68214.68637,312315.6466,634553.2369,631314.3564,-9909.667123,-347056.4511,10769207.3,-51644.09242
2134,107.8402458,1301.426345,534.4221385,210.8972282,204.2492473,345294.112,97893.71776,94776.39989,57831.35138,13498.77469,70672.42564,323749.791,673804.5759,658071.1833,-10099.48433,-364166.3576,11371413.74,-54106.37705
2135,109.4144242,1346.9806,552.8091691,211.28699,204.6510514,358803.654,101573.1112,98405.80828,60137.64159,13849.21855,73218.71596,335602.5492,715483.8714,685962.0377,-10292.93745,-382119.7836,12007295.14,-56686.05838
2136,111.0115814,1394.129406,571.8288138,211.6774722,205.053646,372841.7534,105390.7968,102174.2028,62535.90569,14208.76033,75856.74778,347889.247,759741.3085,715034.9827,-10490.09611,-400958.3148,12678734.58,-59388.73364
2137,112.6320528,1442.928578,591.5028377,212.068676,205.4570325,387429.0898,109351.9724,106086.9058,65029.81156,14577.63624,78589.8265,360625.7714,806736.3625,745340.1186,-10691.03129,-420725.5868,13387720.43,-62220.26692
2138,114.2761787,1493.435883,611.8537551,212.4606028,205.8612126,402587.1518,113462.0311,110149.4436,67623.17336,14956.08859,81421.37661,373828.591,856638.3733,776929.6688,-10895.81534,-441467.3867,14136352.27,-65186.80191
2139,115.9443045,1545.711112,632.9048549,212.853254,206.2661878,418338.2691,117726.5689,114367.554,70319.95735,15344.366,84354.94598,387514.7771,909627.1554,809858.0705,-11104.52197,-463231.7587,14926847.08,-68294.77522
2140,117.6367805,1599.816147,654.6802271,213.2466308,206.6719597,434705.6448,122151.3918,118747.1945,73124.28796,15742.72355,87394.21031,401702.0263,965893.6461,844182.0678,-11317.22633,-486069.1157,15761545.79,-71550.93034
2141,119.353962,1655.81504,677.2047907,213.6407346,207.0785298,451713.3897,126742.5243,123294.5508,76040.45411,16151.42292,90542.97773,416408.6828,1025640.594,879960.8099,-11534.00499,-510032.3559,16642920.26,-74962.33227
2142,121.0962098,1713.77408,700.5043219,214.0355668,207.4858998,469386.5583,131506.2172,128016.0456,79072.91575,16570.7326,93805.19359,431653.7627,1089083.287,917255.9528,-11754.93599,-535176.9855,17573580.57,-78536.38286
2143,122.8638898,1773.761879,724.6054837,214.4311286,207.8940711,487751.1849,136448.9563,132918.3473,82226.3107,17000.92804,97184.94537,447456.9781,1156450.334,956131.7657,-11980.09886,-561561.2471,18556282.74,-82280.83687
2144,124.6573731,1835.849451,749.5358567,214.8274215,208.3030454,506834.3228,141577.4713,138008.3799,85505.46172,17442.29186,100686.4678,463838.7627,1227984.48,996655.2418,-12209.57468,-589246.2545,19593936.93,-86203.81879
